name,Address,Postal Address,E-mail,Phone
Woolianna School,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT",woolianna.school@education.nt.gov.au,(08) 8978 2984
Wanguri Pre School,"46 Gsell St, Wanguri, NT",", , , ",,(08) 8927 1655
Warruwi School,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT",samuel.robinson@education.nt.gov.au,(08) 8979 0222
Wallace Rockhole School,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT",wallace.rockhole@education.nt.gov.au,(08) 8956 7330
Wanguri Primary School,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT",wanguri.prim@education.nt.gov.au,(08) 8927 1655
Walungurru School,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT",walungurru.school@education.nt.gov.au,(08)  8964 6056
Wagaman Primary School,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT",wagaman.school@education.nt.gov.au,(08) 8922 6011
Wagaman Pre School,"35 Wagaman Tce, Wagaman, NT",", , , ",,(08) 8922 6011
Urapunga School,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT",craig.watkins@education.nt.gov.au,(08) 8975 4645
Tivendale School,"Tivendale Road, Berrimah, 0828, NT","PO Box 703, Karama, 0812, NT",samuel.woods@education.nt.gov.au,(08) 899 95910
Top End School of Flexible Learning,"1 Malak Place, Malak, 0812, NT","PO Box 703, Karama, 0812, NT",malakrc.det@education.nt.gov.au,(08) 899 77199
Titjikala School,"N/A, Titjikala (Maryvale), NT","PMB 130, via Alice Springs, 0872, NT",jenny.jenkinson@education.nt.gov.au,(08) 8956 0927
Tipperary Station School,"Daly River Road, Tipperary, NT","PMB 214, via Winnellie, 0822, NT",carla.clough@education.nt.gov.au,(08) 8978 2765
Timber Creek School,"62 Wilson St, Timber Creek, NT","PMB 115, via Katherine, 0851, NT",timbercreek.admin@education.nt.gov.au,(08) 8975 0714
Tiwi College,"Pickertaramoor Melville Island, , NT","LMB 127, Winnellie, 0822, NT",tiwi.college@ntschools.net,08 89709024
Ti Tree School,"26 Palmer St, Ti-Tree, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",anthony.smith@education.nt.gov.au,(08) 8956 9743
Tennant Creek Primary School,"31 Paterson St, Tennant Creek, 0860, NT","PO Box 506, Tennant Creek, 0861, NT",admin.tennasch@education.nt.gov.au,(08) 896 32424
Tennant Creek High School,"38 Stuart St, Tennant Creek, NT","PO Box 546, Tennant Creek, 0861, NT",admin.tchs@education.nt.gov.au,(08) 8962 2102
Stuart Park Primary School,"8 Nudl St, Stuart Park, 0820, NT","PO Box 37421, Winnellie, 0831, NT",stuartpark.school@education.nt.gov.au,(08) 899 77333
St Joseph's Flexible Learning Centre,"Youth Hub, 3 Wills Terrace, , Alice Springs, 0870, NT","P O Box 2991, Alice Springs, 0871, NT",sjcflc@ereafsn.edu.au,0408 568 357
St Pauls Catholic School,"41 Francis St, Rapid Creek, NT","PO Box 40344, Casuarina, 0811, NT",admin.stpauls@nt.catholic.edu.au,(08) 8985 1937
Stuart Park Pre School,"8 Nudl St, Stuart Park, NT",", , , ",,(08) 899 77322
Tennant Creek Pre School,"31 Paterson St, Tennant Creek, NT",", , , ",,(08) 8962 2110
St Philip's College,"2 Ulpaya Rd, Alice Springs, NT","PO Box 33, Alice Springs, 0871, NT",info@stphilips.nt.edu.au,(08) 8950 4511
Stirling School,"N/A, Wilora (Stirling Station) 0872, NT","c/- Ti Tree Post Office, Ti Tree, 0872, NT",tba,(08) 8956 9759
St Mary's Catholic School,"3 Lindsay St, Darwin City, NT","PO Box 2413, Darwin, 0801, NT",admin.stmarys@nt.catholic.edu.au,(08) 8981 9796
Taminmin College,"70 Challoner Cct, Humpty Doo, NT","PO Box 21, HUMPTY DOO, 0836, NT",admin.taminmin@education.nt.gov.au,(08) 898 37000
Shepherdson College,"Wakirana St, Galiwinku, 0822, NT","PMB 74, via WINELLIE, 0822, NT",principal.shepherdson@education.nt.gov.au,(08) 8987 9044
Sattler Christian College,"15 Sattler Cres, Freds Pass, NT","PO Box 1138,, Coolalinga, 0839, NT",admin.scc@ntschools.net,7922 1500
Sanderson Middle School,"60 Matthews Rd, Malak, 0812, NT","PO Box 189, SANDERSON, 0813, NT",sanderson.middle@education.nt.gov.au,(08) 8927 8899
Sadadeen Primary School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 2707, ALICE SPRINGS, 0871, NT",sadadeen.primary@education.nt.gov.au,(08) 895 52299
Sacred Heart Primary School,"34 Emery Ave, Woodroffe, NT","PO Box 271, Palmerston, 0831, NT",admin.shps@nt.catholic.edu.au,(08) 8924 8700
Royal Darwin Hospital School,"Rocklands Drive, Tiwi, Tiwi, 0810, NT","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT",tania.nicholls@education.nt.gov.au,(08) 8922 8736
Ross Park Primary School,"7 Winnecke Ave, Alice Springs, 0870, NT","PO Box 364, ALICE SPRINGS, 0871, NT",rosspark.school@ntschools.net,(08) 895 52000
Rosebery Primary School,"Belyuen Road Rosebery, Rosebery, 0832, NT","PO Box 650, PALMERSTON, 0832, NT",roseberyps.admin@education.nt.gov.au,(08) 792 30100
Rona Glynn Pre School,"2 Mckay St, Alice Springs, NT",", , , ",,(08) 895 21792
SEDA College NT,"5/90 Ross Smith Ave, Fannie Bay, 0820, NT","5/90 Ross Smith Ave, Fannie Bay, 0820, NT",info@sedacollege.nt.edu.au,1300 337 332
Rockhampton Downs School,"Community ID 259, Wogyala, NT","PMB 34, Tennant Creek, 0862, NT",amelia.hill1@education.nt.gov.au,(08) 8964 4675
Robinson River School,"N/A, Robinson River, NT","PMB 145, Katherine, 0851, NT",chris.errington@education.nt.gov.au,(08) 8975 9956
Ramingining School,"133Lewangu Drive, Ramingining, 0822, NT","PMB 125, via WINNELLIE, 0822, NT",cheryl.dwyer@education.nt.gov.au,(08) 8979 7924
Ramingining Pre School,"N/A, Ramingining, NT",", , , ",,(08) 8979 7924
Pularumpi School,"Pularumpi, Pirlangimpi, NT","PMB 51, via Winnellie, 0822, NT",roseanna.brunker@education.nt.gov.au,(08) 8978 3961
Pine Creek School,"N/A, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT",janet.purje@education.nt.gov.au,(08) 8976 1228
Pigeon Hole School,"N/A, Pigeon Hole, NT","PMB 10, via Katherine, 0852, NT",anne.pollock@education.nt.gov.au,(08) 8975 0812
Peppimenarti School,"N/A, Peppimenarti, NT","PMB 49, via Winnellie, 0822, NT",eric.barrows@education.nt.gov.au,(08) 8978 2455
Parap Primary School,"52 Urquhart Street, Parap, 0820, NT","PO Box 69, PARAP, 0804, NT",parapps.office@education.nt.gov.au,(08) 898 22922
St Johns Catholic College,"54 Salonika St, The Gardens, NT","Mail Bag 13, Darwin, 0820, NT",admin.stjohns@nt.catholic.edu.au,(08) 8982 2222
Papunya School,"N/A, Papunya, 0872, NT","PMB 77, via Alice Springs, 0872, NT",christine.munro@education.nt.gov.au,(08) 8956 8515
Parap Pre School,"61 Ross Smith Ave, Parap, NT",", , , ",,(08) 8981 5146
Owen Springs Education Centre,"Stuart Highway, Alice Springs, 0870, NT","PO Box 4856, Alice Springs, 0871, NT",joel.hohn@education.nt.gov.au,(08) 8958 5088 / (08) 8958 5089
Palmerston Christian School,"50 Waler Road, Marlow Lagoon, Marlow Lagoon, NT","PO Box 113, Palmerston, 0831, NT",admin.pcs@ntschools.net,(08) 7922 5600
Palmerston College,"10 Tilston Ave, Driver, 0830, NT","PO Box 8, PALMERSTON, , NT",Palmerston.college@education.nt.gov.au,(08) 899 77999
OLSH Thamarrurr Catholic College,"n/a, Wadeye (Port Keats), NT","Wadeye, Port Keats, via Winnellie, 0822, NT",admin.olshtcs@nt.catholic.edu.au,(08) 8978 2477
OLSH Primary School,"5 Bath St, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400
OLSH College - Traeger Campus,"8 Traeger Ave, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400
OLSH College - Sadadeen Campus,"Sadadeen Rd, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au,(08) 8950 6400
Nyirripi School,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT",ken.millar@education.nt.gov.au,(08) 8956 8880
O'Loughlin Catholic College,"70 Mueller Rd, Karama, NT","P O Box 41911, Casuarina, 0811, NT",secretary.oloughlin@nt.catholic.edu.au,(08) 8945 1277
Nyangatjatjara College - Mutitjulu Campus,"n/a, Yulara, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.or.au,(08) 8956 2555
Nyangatjatjara College - Docker Rvr Campus,"N/A, Kaltukatjara (Docker River), NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7098
Nyangatjatjara College - Imanpa Campus,"not available, not available, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au,(08) 8956 7038
Numbulwar School,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT",lawry.mahon@education.nt.gov.au,(08) 8975 4650
Numbulwar Pre School,"N/A, Numbulwar, NT",", , , ",,(08) 8975 4650
Ntaria School,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT",ntariasch.admin@education.nt.gov.au,(08) 8956 7424
NT School of Distance Education,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT",ntsde.admin@education.nt.gov.au,(08) 892 22292
Shepherdson Pre School,"Wakirana St, Galiwinku, NT",", , , ",,(08) 8987 9044
NT Music School,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT",nt.musicschool@education.nt.gov.au,(08) 896 35550
Nightcliff Primary School,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT",nightcliff.ps@education.nt.gov.au,(08) 8948 8488
Nightcliff Pre School,"17 Pandanus St, Nightcliff, NT",", , , ",,(08) 8948 8488
Nightcliff Middle School,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT",admin.nightms@education.nt.gov.au,(08) 898 37677
Nhulunbuy Pre School,"36 Chesterfield Cct, Nhulunbuy, NT",", , , ",,(08) 8987 1056
Nhulunbuy Primary School,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT",nps.frontoffice@education.nt.gov.au,(08) 898 70022
Nhulunbuy High School,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT",nhulunbuy.high@education.nt.gov.au,(08) 898 70844
Nhulunbuy Christian School,"N/A, Nhulunbuy, NT","PO Box 621, Nhulunbuy, 0881, NT",admin.ncc@ntschools.net,(08) 8965 2900
Ngukurr Pre School,"Bawuda St, Ngukurr, NT",", , , ",,(08) 8975 4680
Ngukurr School,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT",ngukurr.cec@education.nt.gov.au,(08) 8975 4680
St Francis Xavier School,"n/a, Nauiyu, NT","PMB 28, Daly River, 0822, NT",dr.adminbox@nt.catholic.edu.au,(08) 8978 2427
Nganmarriyanga School,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT",jen.robson@education.nt.gov.au,(08) 8978 2380
Neutral Junction School,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT",ruth.rawnsley@education.nt.gov.au,(08) 8956 9754
Nganambala School,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT",samuel.sailor@education.nt.gov.au,(08) 8978 2001
Newcastle Waters School,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT",sabina.armstrong@education.nt.gov.au,(08) 8964 4566
Nemarluk School,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT",admin.nemarluk@education.nt.gov.au,(08) 898 50400
Nathalie Gorey Pre School,"80 Spearwood Rd, Alice Springs, NT",", , , ",,(08) 8952 1186
Nawardekken Academy,"tba, tba, NT","tba, tba, tba, NT",tba,tba
Nakara Pre School,"35 Nakara Tce, Nakara, NT",", , , ",,(08) 8927 9823
Mutitjulu School,"Mutitjulu, Ayers Rock, NT","PO Box 121, Yulara, 0872, NT",mutitjulu.school@education.nt.gov.au,(08) 8956 2547
Nakara Primary School,"35 Nakara Tce, Nakara, 0810, NT","35 Nakara Tce, Nakara, 0810, NT",nakara.primary@education.nt.gov.au,(08) 8927 9823
Murrupurtiyanuwu Catholic Primary School,"Kerinauia Highway, Nguiu, NT","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT",admin.mcs@nt.catholic.edu.au,(08) 8978 3986
Murray Downs School,"Outstation, Murray Downs(Imangara), NT","PMB 48, Alice Springs, 0872, NT",mitchell.valentine@education.nt.gov.au,(08) 8964 1951
Mulga Bore School,"n/a, Mulga Bore Community, NT","PMB 18, via Alice Springs, 0872, NT",sunday.taite@education.nt.gov.au,(08) 8956 9824
Mount Allan School,"N/A, Yuelamu, NT","PMB  6, Mount Allan School via Alice Springs, 0872, NT",dowreen.lata@education.nt.gov.au,(08) 8956 8860
Moulden Primary School,"103 Bonson Tce, Moulden, 0830, NT","PO Box 80, PALMERSTON, 0831, NT",moulden.primary@education.nt.gov.au,(08) 8930 5900
Moulden Pre School,"103 Bonson Tce, Moulden, NT",", , , ",,(08) 8930 5965
Mother Teresa Catholic Primary School,"Ginger St, Zuccoli, NT","PO Box 1125, Palmerston, 0830, ",principal.motherteresa@nt.catholic.edu.au,(08) 7969 5600
Moil Pre School,"Moil Crescent, Moil, NT",", , , ",,(08) 898 37535
St Francis of Assisi Catholic Primary School,"56 Challoner Cct, Humpty Doo, NT","PO Box 921, Humpty Doo, , NT",admin.sfas@nt.catholic.edu.au,(08) 8988 1212
Moil Primary School,"37 Lanyon Tce, Moil, 0810, NT","37 Lanyon Tce, MOIL, 0810, NT",admin.moilsch@education.nt.gov.au,(08) 898 37530
Minyerri Pre School,"N/A, Minyerri (Hodgson Downs), NT",", , , ",,(08) 8975 9972
School of Sport Education NT,"1 Nemarluk Drive, Ludmilla, NT, 0820, NT","PO Box 42896, Casuarina, 0811, NT",admin.ssnt@education.nt.gov.au,(08) 899 95700
Minyerri School,"N/A, Minyerri (Hodgson Downs), NT","PMB 40, KATHERINE, 0851, NT",david.panjer@education.nt.gov.au,(08) 8975 9972
Milyakburra School,"N/A, Milyakburra (Bickerton Island), NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT",leah.carroll@education.nt.gov.au,(08) 8987 6084
Millner Primary School,"41 Sabine Rd, Millner, 0810, NT","41 Sabine Rd, MILLNER, 0810, NT",admin.millnerps@education.nt.gov.au,(08) 792 30333
Mimik-Ga Centre,"4 Henbury Ave, Wanguri, 0810, NT","PO Box 40519, Casuarina, 0811, NT",admin.mimik-ga@education.nt.gov.au,(08) 898 37900
Milingimbi School,"N/A, Milingimbi, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT",adam.dicks1@education.nt.gov.au,(08) 8987 9902
Millner Pre School,"41 Sabine Rd, Millner, NT",", , , ",,(08) 792 30333
Milkwood Steiner,"107 Boulter Road, Berrimah NT 0828, Marrara, NT","PO Box 319, Karama, 0812, NT",info@milkwood.nt.edu.au,08 8947 0608
Mataranka School,"Roper Terrace, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT",jennifer.jenkins@education.nt.gov.au,(08) 8975 4543
Milikapiti School,"N/A, Milikapiti (Snake Bay), NT","PMB 96, via Winnellie, 0822, NT",chris.armstrong1@education.nt.gov.au,(08) 8978 3960
Middle Point School,"615 Anzac Pde, Middle Point, NT","PO Box 96, Humpty Doo, 0836, NT",middle.pt@education.nt.gov.au,(08) 8988 1688
Mbunghara School,"N/A, Mbunghara, NT","PMB 242, via Alice Springs, 0872, NT",mbunghara.school@education.nt.gov.au,(08) 8956 8503
Manunda Terrace Pre School,"31 Manunda Tce, Karama, NT",", , , ",,(08) 899 77366
Mapuru Yirralka College,"Dhabulu Rd, Mapuru, NT 0822, NT","PMB 301, Winnellie, 0821, NT",debra.bateman@ntschools.net,(08) 8970 4996
Manyallaluk School,"N/A, Manyallaluk (Eva Valley), NT","PO Box 271, Katherine, 0851, Nt",admin.manyasch@education.nt.gov.au,(08) 8975 4438
Maningrida College,"n/a, Maningrida, 0822, NT","PMB 67, via Winnellie, 0822, NT",maningrida.cec@education.nt.gov.au,(08) 8979 5950
Manunda Terrace Primary School,"31 Manunda Tce, Karama, 0812, NT","31 Manunda Tce, KARAMA, 0812, NT",manunda.school@education.nt.gov.au,(08) 899 77366
Mamaruni School,"N/A, Minjilang (Croker Is), NT","PMB 47, via Winnellie, 0822, NT",tracy.brislane@education.nt.gov.au,(08) 8979 0255
Marrara Christian School,"110 Amy Johnson Ave, Marrara, NT","PO Box 84, Karama, 0812, NT",admin.mcc@ntschools.net,(08) 8920 2000
Malak Primary School,"45 Malak Cres, Malak, 0812, NT","45 Malak Crescent, MALAK, 0812, NT",admin.malak@education.nt.gov.au,(08) 899 77600
Malak Pre School,"45 Malak Cres, Malak, NT",", , , ",,(08) 899 77600
Mackillop Catholic College,"285 Farrar Boulevard, Johnston, NT","P O Box 2608, Palmerston, 0831, NT",mackillopcollege@nt.catholic.edu.au,08 8930 5757
Ludmilla Pre School,"41 Bagot Rd, Ludmilla, NT",", , , ",,(08) 898 37889
MacFarlane Primary School,"42 Grevillea Rd, Katherine East, 0850, NT","42 Grevillea Road, KATHERINE EAST, 0850, NT",admin.macfasch@education.nt.gov.au,(08) 896 51700
MacFarlane Pre School,"Grevillea Rd, Katherine East, NT",", , , ",,(08) 8972 3069
Ludmilla Primary School,"41 Bagot Rd, Ludmilla, 0820, NT","PO Box 39945, WINNELLIE, 0821, NT",admin.ludmilla@education.nt.gov.au,(08) 898 37888
Leanyer Pre School,"114 Leanyer Dr, Leanyer, NT",", , , ",,(08) 8927 4022
Living Waters Lutheran School,"Cnr Albrecht Dr & Kramer St, Alice Springs, NT","PO Box 8869, Alice Springs, 0871, NT",living.waters@ntschools.net,(08) 8950 0700
Laynhapuy Homelands School,"Galpu Rd, Yirrkala, NT","PMB 747, Nhulunbuy, 0881, NT",yhs.admin@ntschools.net,(08) 898 71224
Leanyer Primary School,"114 Leanyer Drive,, Leanyer, 0812, NT","114 Leanyer Drive, LEANYER, 0812, NT",admin.leanyer@education.nt.gov.au,(08) 8927 4022
Ltyentye Apurte CEC,"N/A, Santa Teresa (Ltyenty Apurte), NT","Santa Teresa, PMB 221, via A/Springs, 0871, NT",la.admin@nt.catholic.edu.au,(08) 8956 0937
Larrakeyah Primary School,"3 Packard St, Larrakeyah, 0820, NT","PO Box 412, DARWIN, 0801, NT",larrakeyah.admin@education.nt.gov.au,(08) 8981 3211
Larrakeyah Pre School,"3 Packard St, Larrakeyah, NT",", , , ",,(08) 8981 9091
Larapinta Primary School,"22 Albrecht Dr, Alice Springs, NT","PO Box 9021, ALICE SPRINGS, 0871, NT",larapinta.primary@education.nt.gov.au,(08) 895 85155
Larapinta Pre School,"22 Albrecht Dr, Alice Springs, NT",", , , ",,(08) 895 85145
Lajamanu Pre School,"N/A, Lajamanu (Hooker Ck), NT",", , , ",,(08) 89750 946
Kintore Street Pre School,"11 Kintore St, Katherine, NT",", , , ",,(08) 8973 3888
Kiana School,"N/A, Kiana, NT","PMB 33, via Tennanat Creek, 0861, NT",tba,(08) 8975 9820
Lajamanu School,"N/A, Lajamanu ( Hooker Ck), NT","PMB 63, via Katherine, 0851, NT",admin.lajamcec@education.nt.gov.au,(08) 8975 0946
Laramba School,"N/A, Laramba (Napperby), NT","PMB 213, via Alice Springs, 0872, NT",laramba.school@education.nt.gov.au,(08) 8956 8771
Kintore Street School,"11 Kintore St, Katherine, 0872, NT","PO Box 1931, KATHERINE, 0851, NT",kintore.admin@education.nt.gov.au,(08) 8973 3888
Katherine South Primary School,"Riverbank Dr, Katherine, 0850, NT","PO Box 721, KATHERINE, 0851, NT",admin.kathesch@education.nt.gov.au,(08) 8972 1277
Katherine South Pre School,"Riverbank Drive, Katherine, NT",", , , ",,(08) 8972 1277
Katherine Flexible Learning Centre,"5 Kintore St, Katherine, 0850, NT","PO Box 189, Katherine, 0851, NT",tba,(08) 897 38200
Karama Pre School,"37 Livistona Rd, Karama, NT",", , , ",,(08) 898 37711
Karama Primary School,"37 Livistona Rd, Karama, 0812, NT","PO Box 103, Karama, 0813, NT",karama.school@education.nt.gov.au,(08) 898 37700
Katherine School Of The Air,"101 Giles St, Katherine, 0850, NT","PO Box 531, KATHERINE, 0851, NT",kath.soa@education.nt.gov.au,(08) 896 51555
Katherine High School,"Grevillea Rd, Katherine East, 0850, NT","PO Box 189, KATHERINE, 0851, NT",admin.kathehs@education.nt.gov.au,(08) 897 38200
Jingili Preschool,"10 Jingili Tce, Jingili, NT",", , , ",,(08) 8985 3495
Kalkaringi School,"Whitlam st, Kalkaringi (Wave hill), NT","PMB 41, KATHERINE, 0852, NT",anne.saunders@education.nt.gov.au,(08) 896 51888
Jilkminggan School,"N/A, Jilkminggan (Duck Creek), NT","PO Box 4054, Mataranka, 0852, NT",admin.jilkmsch@education.nt.gov.au,(08) 8975 4896
Jabiru Area School,"40 Waterhouse Rd, Jabiru, NT","PO Box  246, Jabiru, 0886, NT",jabiru.areaschool@education.nt.gov.au,(08) 8938 3333
Kalkaringi Pre School,"Whitlam St, Kalkaringi (Wave hill), NT",", , , ",,(08) 8965 1888
Jabiru Pre School,"40 Waterhouse Rd, Jabiru, NT",", , , ",,(08) 8938 3333
Jingili Primary School,"17 Rindberg St, Jingili, 0810, NT","PO Box 40600, CASUARINA, 0810, NT",jingili.school@education.nt.gov.au,(08) 898 37555
Howard Springs Primary School,"295 Whitewood Rd, Howard Springs, 0835, NT","PO Box  171, HOWARD SPRINGS, 0835, NT",howard.springs@education.nt.gov.au,(08) 898 30000
Ida Standley Pre School,"15 Parke Cres, Alice Springs, NT",", , , ",,(08) 8952 1040
Imanpa School,"N/A, Imanpa, NT","PMB 76, via Alice Springs, 0872, NT",steve.nankivell@education.nt.gov.au,(08) 8956 7483
Humpty Doo Pre School,"50 Freds Pass Rd, Humpty Doo, NT",", , , ",,(08) 792 30400
